epoch,train_loss,val_loss,train_acc,val_acc
1,1.646006331761678,1.1332232901390562,61.802083333333336,84.80833333333334
2,0.9825719889005026,0.8532761639737069,85.3625,90.325
3,0.8477533148129781,0.7702802318207761,89.54375,92.90833333333333
4,0.7943049775759379,0.7269541526094396,91.51666666666667,94.29166666666667
5,0.7596488587061564,0.6994620060667078,92.88958333333333,95.28333333333333
6,0.7376706277529399,0.6794081761481914,93.75625,95.95
7,0.7199751543998718,0.6642088807643728,94.44791666666667,96.4
8,0.7069415965080261,0.6565803460618282,94.87916666666666,96.525
9,0.6955735465685526,0.6475948336276602,95.38541666666667,96.80833333333334
10,0.6865294256210327,0.6384484793277497,95.49791666666667,97.075
